City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olafsvik,64.8945,-23.7142,1.03,53,42,9.01,IS,1674443851
1,ambilobe,-13.2,49.05,22.49,93,100,0.66,MG,1674443852
2,miri,4.4148,114.0089,30.08,74,40,1.54,MY,1674443854
3,reconquista,-29.15,-59.65,26.61,38,0,2.49,AR,1674443854
4,bayji,34.9311,43.487,9.5,49,0,2.55,IQ,1674443855
5,kedrovyy,56.1667,91.8167,-16.77,80,100,4.61,RU,1674443856
6,ushuaia,-54.8,-68.3,9.81,71,0,3.6,AR,1674443856
7,portland,45.5234,-122.6762,6.63,87,100,2.24,US,1674443737
8,barrow,71.2906,-156.7887,-19.99,77,100,6.17,US,1674443857
9,geraldton,-28.7667,114.6,26.23,61,40,6.69,AU,1674443858
10,port alfred,-33.5906,26.891,20.66,97,53,3.43,ZA,1674443858
11,hermanus,-34.4187,19.2345,20.45,89,0,2.9,ZA,1674443859
12,zemaiciu naumiestis,55.3592,21.7022,-3.11,95,36,2.49,LT,1674443859
13,vyshkovo,48.0491,23.4211,2.94,88,18,2.46,UA,1674443860
14,torbay,47.6666,-52.7314,-4.35,93,20,5.66,CA,1674443860
15,portree,57.4129,-6.1942,8.62,97,100,5.22,GB,1674443861
16,itarema,-2.9248,-39.9167,25.21,86,80,4.53,BR,1674443861
17,shenzhen,22.5455,114.0683,22.13,83,4,1.17,CN,1674443724
18,sao filipe,14.8961,-24.4956,20.97,63,23,4.59,CV,1674443862
19,cherskiy,68.75,161.3,-36.08,96,100,0.81,RU,1674443862
20,longyearbyen,78.2186,15.6401,2.91,81,75,5.14,SJ,1674443864
21,tigil,57.8,158.6667,-23.2,89,22,1.61,RU,1674443864
22,east london,-33.0153,27.9116,22.24,87,100,0.83,ZA,1674443864
23,saint-philippe,-21.3585,55.7679,23.77,85,100,0.52,RE,1674443866
24,kahului,20.8947,-156.47,27.2,69,0,6.17,US,1674443834
25,vila do maio,15.1333,-23.2167,19.44,66,8,5.73,CV,1674443774
26,vestmanna,62.1564,-7.1664,5.51,87,100,7.2,FO,1674443866
27,laguna,38.421,-121.4238,11.19,45,0,9.26,US,1674443726
28,bluff,-46.6,168.3333,14.13,57,55,4.9,NZ,1674443867
29,praia da vitoria,38.7333,-27.0667,15.42,94,75,6.84,PT,1674443868
30,nantucket,41.2835,-70.0995,8.06,93,100,6.17,US,1674443868
31,clyde river,70.4692,-68.5914,-30.87,69,100,11.32,CA,1674443869
